NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS 1;ENCARREGADO;SUPERVISOR;AR COELBA;nan;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101077475;B-0823492;MP-CIND-POV PEDRA BRANCA-RURAL;MUNDO NOVO;nan;EDILSON;RENATO;DIORLAN;nan;LPT;03/01/25;03/01/25;10/01/25;2025-7250;2025-7260;nan;nan;nan;nan;E615818 AO E615825;1;8;4;nan;8;nan;nan;08/01/25;21/01/25;nan;nan;-12.007194;nan;R$ 122.973,00;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;JACOBINA;01/01/2025;0823492;Consolidado;N/A
9101763912;B-1056397;MP-CIND-FAZ-LAGOA DO FELIPAO-RURAL;PIRITIBA;ANDAMENTO;RODRIGO;DURVAL;DIORLAN;nan;LPT;03/01/25;03/01/25;08/01/25;2025-7271;2025-7282;nan;nan;nan;1016757/2024;E698713 ao E698723;1;10;nan;nan;10;nan;nan;20/01/25;31/01/25;nan;nan;-11.722435;-40.667881;R$ 129.497,91;nan;nan;nan;nan;nan;Montar bancada N3 c LV. Solo bom;JACOBINA;01/01/2025;1056397;Consolidado;N/A
9100996248;B-0801606;LD CIND FAZ LAGOA DA PEDRA RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;JUDICIAL;02/01/25;02/01/25;07/01/25;2025-9578;nan;nan;nan;nan;nan;E615811 AO E615817;1;7;7;7;0;100,00%;nan;20/01/25;25/01/25;25/01/2025;nan;-11.643832;-40.466862;R$ 42.662,80;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;JACOBINA;01/01/2025;0801606;Consolidado;N/A
9102099617;B-1152973;ER-CCOL-FAZ-MELANCIAS-RR-OUROLANDIA;OUROLÂNDIA;ENERGIZADA;ELIEZER;ETEMILSON;NAILTON;nan;REPUTACIONAL;02/01/25;02/01/25;07/01/25;2025-7862;2025-7867;nan;nan;nan;1016759/2024;E698747 ao E698798;3;52;52;52;0;100,00%;nan;06/01/25;31/01/25;31/01/2025;nan;-10.891227;-41.1274074;R$ 554.239,65;nan;nan;510,00;nan;nan;Intercalar poste c LC, Pelas fotos do geoex os postes já estao implantados por outra EPS. NECESSIDADE DE VISITAR;JACOBINA;01/01/2025;1152973;Consolidado;N/A
9101899532;B-1073346;LD-CIND-PR.GALDINO VITORIA-RURAL;MUNDO NOVO;nan;LUCIANO;RENATO;DIORLAN;nan;LPT;03/01/25;06/01/25;09/01/25;2025-9929;nan;nan;nan;nan;nan;E615827 E E615827;1;2;nan;nan;2;0%;nan;11/01/25;18/01/25;nan;nan;-12.041839;-40.793877;R$ 27.036,75;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;JACOBINA;01/01/2025;1073346;Consolidado;N/A
9101891345;B-1077724;LD CIND POV BAIXINHA RURAL;CAMPO FORMOSO;ENERGIZADA;EUDARIO;ETEMILSON;HIAGO;nan;REPUTACIONAL;23/01/25;23/01/25;25/01/25;2025-9864;2025-11043;nan;nan;nan;nan;E615914 ao E615922;1;9;9;9;0;100,00%;nan;23/01/25;28/01/25;29/01/2025;nan;nan;nan;R$ 82.906,45;nan;nan;nan;nan;nan;Intercalar poste c LV. Muita poda. Cava trado;JACOBINA;01/01/2025;1077724;Consolidado;N/A
9102127550;B-1160910;ER CIND FZ BOA VISTA RURAL;MUNDO NOVO;ENERGIZADA;LUCIANO;RENATO;DIORLAN;nan;QLP;07/01/25;07/01/25;17/01/25;nan;2025-7201;nan;nan;nan;nan;E615830;1;1;1;nan;1;nan;nan;20/01/25;25/01/25;29/01/2025;nan;-11.824869;-40.488726;R$ 23.515,59;nan;nan;235,00;nan;nan;Extensão BT, solo bom;JACOBINA;01/01/2025;1160910;Consolidado;N/A
9101799780;B-1035980;MP- CIND - POV.MANICOBA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;nan;LPT;09/01/25;09/01/25;28/01/25;2025-9948;2025-9969;nan;nan;nan;1016760/2024;E698799 ao E698813;1;15;nan;nan;15;0%;nan;17/01/25;21/01/25;nan;nan;-11.759154;-40.627565;R$ 134.719,83;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;JACOBINA;01/01/2025;1035980;Consolidado;N/A
9101868390;B-1065855;LD-CIND-POV VILA NOVA-RURAL PRB;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;nan;nan;2025-891;22/01/25;CONCLUÍDO;nan;E615896 ao E615898;1;3;3;3;0;nan;nan;22/01/25;22/01/25;22/01/2024;nan;-11.6044054;-40.7605411;R$ 20.489,85;nan;nan;nan;nan;nan;Desligamento para realocar rede MT e extender poste BT;JACOBINA;01/01/2025;1065855;Consolidado;N/A
9101971076;B-1114605;MP-CIND-POV-MIRANDAS-RURAL;MUNDO NOVO;ENERGIZADA;EDILSON;RENATO;DIORLAN;nan;JUDICIAL;08/01/25;08/01/25;11/01/25;2025-9996;2025-10009;nan;nan;nan;1016762/2024;E698994 ao E699023;1;29;28;29;0;100,00%;nan;21/01/25;31/01/25;31/01/2025;nan;-11.955822;-40.638326;R$ 383.705,16;nan;nan;nan;nan;nan;Transformar estrutura em poste circular c LV. Solo cava c/ trado;JACOBINA;01/01/2025;1114605;Consolidado;N/A
9101894308;B-1077783;LD CIND POV AV.PRINCIPAL JEQUETIBA-RURAL;MUNDO NOVO;nan;ANTONIO;RENATO;DIORLAN;nan;LPT;22/01/25;22/01/25;25/01/25;2025-10053;2025-10061;nan;nan;nan;nan;E615908 AO E615913;1;6;6;nan;6;0%;nan;13/01/25;31/01/25;nan;E084153;-12.0548160;-40.4864220;R$ 79.010,93;nan;nan;nan;nan;nan;Intercalar postes c LV, solo cava c/ trado. Visitar para avaliar necessidade de retro para abrir acesso;JACOBINA;01/01/2025;1077783;Consolidado;N/A
9101853585;B-1056881;ER-CIND-FAZ-TAMANDUA-RURAL;PIRITIBA;RETIRADDA DA CARTEIRA;HIAGO;DURVAL;DIORLAN;nan;LPT;13/01/25;13/01/25;17/01/25;nan;nan;nan;nan;nan;1016763/2024;E699024 ao E699033;1;13;nan;nan;13;0%;nan;24/01/25;31/01/25;nan;nan;-11.7494604;-40.5754853;R$ 50.261,58;nan;nan;150,00;nan;nan;Desligamento p/ substituir postes BT por MT;JACOBINA;01/01/2025;1056881;Consolidado;N/A
9101925582;B-1088429;RR-CIND-FAZ-LAGOA DO CARMO-RURAL-PIRITIB;PIRITIBA;LOCADA;RODRIGO;DURVAL;DIORLAN;nan;LPT;14/01/25;14/01/25;28/01/25;2025-10092;2025-10095;nan;nan;nan;nan;E615855 AO E615861;1;7;nan;nan;7;0%;nan;13/01/25;31/01/25;nan;nan;nan;nan;R$ 47.246,25;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1088429;Consolidado;N/A
9101321144;B-0924090;ER-CIND-POV CANJERANA-URBANO;MUNDO NOVO;nan;ANTONIO;RENATO;DIORLAN;nan;LPT;24/01/25;24/01/25;28/01/25;2025-10232;2025-10241;nan;nan;nan;nan;E615923 ao E615931;1;9;nan;nan;9;0%;nan;27/01/25;31/01/25;nan;nan;nan;nan;R$ 30.506,54;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;0924090;Consolidado;N/A
9101896738;B-1078521;LD CIND PO AVN PRINCIPAL RURAL;MUNDO NOVO;ENERGIZADA;ANTONIO;RENATO;DIORLAN;nan;REPUTACIONAL;22/01/25;22/01/25;25/01/25;2025-10252;2025-10257;nan;nan;nan;nan;E615899 AO E615907;1;9;9;9;0;100,00%;nan;22/01/25;25/01/25;31/01/2025;E084146;-12.0627200;-40.4844920;R$ 91.747,01;nan;nan;nan;nan;nan;intercalar poste c LV e instalar defensa, solo cava c/ trado;JACOBINA;01/01/2025;1078521;Consolidado;N/A
9101804419;B-1043613;ER-CIND-AV-ORLANDO CARNEIRO LIMA-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;LPT;13/01/25;13/01/25;15/01/25;2025-5029 - CONJ. LV;nan;2024-154676;16/01/25;CONCLUÍDO;nan;E615854;1;2;2;2;0;100,00%;nan;16/01/25;16/01/25;16/01/2025;nan;-11.7562707653269;-40.7114341948181;R$ 18.764,21;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1043613;Consolidado;N/A
9101972569;B-1108191;ER-CIND-FAZ-ALTAMIRA-MASSAMBAO;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;LPT;02/01/25;02/01/25;07/01/25;2025-5005;2025-6290;2024-154606;14/01/25;CONCLUÍDO;1016764/2024;E699034 ao E699045;1;12;12;12;0;100,00%;nan;06/01/25;17/01/25;17/01/2025;nan;-11.602575;-40.603172;R$ 102.921,89;nan;nan;nan;nan;nan;Intercalar poste e CH c/ LV, solo trado, Poda;JACOBINA;01/01/2025;1108191;Consolidado;N/A
9101982593;B-1114135;RR-CIND-FAZ-CANABRAVA-RURAL;MUNDO NOVO;nan;LUCIANO;RENATO;DIORLAN;nan;LPT;14/01/25;14/01/25;17/01/25;nan;2025-7209;nan;nan;nan;nan;E615863 AO E615870;1;8;nan;nan;8;nan;nan;17/01/25;25/01/25;nan;nan;-11.8304148;-40.3460756;R$ 42.327,88;nan;nan;380,00;nan;nan;Transformar N3 em N4 c LV. Solo bom;JACOBINA;01/01/2025;1114135;Consolidado;N/A
9102038514;B-1130167;ER-CIND-FAZ-DEUS DARA 398 --J-RURAL;MUNDO NOVO;nan;LUCIANO;RENATO;DIORLAN;nan;LPT;14/01/25;14/01/25;17/01/25;nan;2025-7212;nan;nan;nan;1016765/2024;E699046 ao E699055;1;10;nan;nan;10;nan;nan;27/01/25;31/01/25;nan;nan;-11.8322768;-40.4201272;R$ 52.286,75;nan;nan;550,00;nan;nan;Extensão de rede BT;JACOBINA;01/01/2025;1130167;Consolidado;N/A
9102038526;B-1130519;ER-CIND-FAZ-ESTRELA-RURAL;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;ANTONIO;RENATO;MANOEL GUSTAVO;nan;LPT;20/01/25;22/01/25;22/01/25;2025-8619;nan;nan;nan;nan;nan;E615880 AO E615884;1;5;5;5;0;100,00%;nan;22/01/25;25/01/25;24/01/2025;nan;-11.476167;-40.070389;R$ 53.590,96;nan;nan;200,00;nan;nan;Transformar estrutura em poste circular e instalar CH com LV. Necessario retro para escavação;JACOBINA;01/01/2025;1130519;Consolidado;N/A
9102053037;B-1136793;RR-CIND-FAZ-TAMANDUA 500 --E-RURAL;PIRITIBA;ENERGIZADA;HIAGO;DURVAL;DIORLAN;nan;LPT;10/01/25;10/01/25;17/01/25;2025-6662;2025-6673;2024-154746;24/01/25;APROVADA;1016766/2024;E699056 ao E699067;1;16;16;16;0;100,00%;nan;22/01/25;31/01/25;28/01/2025;nan;-11.748487;-40.5868647;R$ 132.380,20;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1136793;Consolidado;N/A
9102083313;B-1146649;RR-CIND-POV-CALDEIR O GRANDE-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;2025-7192 - CONJ. PD;nan;2024-154759;21/01/25;CONCLUÍDO;nan;E615877 ao E615879;1;7;7;7;0;100,00%;nan;17/01/25;21/01/25;21/01/2025;nan;-11.74582487;-40.59656942;R$ 61.383,31;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1146649;Consolidado;N/A
9102085364;B-1149302;RR-CIND-FAZ-NOVA ESPERANCA-RURAL-FRANCA;PIRITIBA;ANDAMENTO;HIAGO;DURVAL;DIORLAN;nan;QLP;09/01/25;09/01/25;13/01/25;2025-9886;2025-9915;nan;nan;nan;1016767/2024;E699118 ao E699133;1;16;16;10;6;63%;nan;22/01/25;28/01/25;nan;nan;-11.65772311;-40.56267717;R$ 121.035,20;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1149302;Consolidado;N/A
9102096043;B-1151038;ER-CCOL-FAZ-PINDOBEIRA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;nan;QLP;24/01/25;24/01/25;28/01/25;2025-10261;2025-10265;nan;nan;nan;1016768/2024;E699134 ao E699147;1;14;nan;nan;14;0%;nan;17/01/25;30/01/25;nan;nan;nan;nan;R$ 126.327,14;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1151038;Consolidado;N/A
