NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;"AR
COELBA";;CRITERIO;"ANÁLISE
PROJETO
PRÉ-FECH.";SOLICITAÇÃO DE RESERVA;"DATA SAQUE
MATERIAIS";"PES
LV";"PES 
ENCABEÇ. BT
/ ENERG.";"PES
PD";"DATA
PD";"STATUS
PES PD";SI PG;PG's;CLIENTES;PREVISTOS;CAVA REALIZADA;REALIZADO;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101868390;B-1065855;LD-CIND-POV VILA NOVA-RURAL PRB;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;;;2025-891;22/01/25;CONCLUÍDO;;E615896 ao E615898;1;3;3;3;0;;;22/01/25;22/01/25;22/01/2024;;;-11.6044054;-40.7605411;R$ 20.489,85;;;;;;Desligamento para realocar rede MT e extender poste BT;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101971076;B-1114605;MP-CIND-POV-MIRANDAS-RURAL;MUNDO NOVO;ENERGIZADA;EDILSON;RENATO;DIORLAN;;JUDICIAL;08/01/25;08/01/25;11/01/25;2025-9996;2025-10009;;;;1016762/2024;E698994 ao E699023;1;29;28;29;0;100,00%;;21/01/25;31/01/25;31/01/2025;;;-11.955822;-40.638326;R$ 383.705,16;;;;;;Transformar estrutura em poste circular c LV. Solo cava c/ trado;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101894308;B-1077783;LD CIND POV AV.PRINCIPAL JEQUETIBA-RURAL;MUNDO NOVO;;ANTONIO;RENATO;DIORLAN;;LPT;22/01/25;22/01/25;25/01/25;2025-10053;2025-10061;;;;;E615908 AO E615913;1;6;6;;6;0%;;13/01/25;31/01/25;;;E084153;-12.0548160;-40.4864220;R$ 79.010,93;;;;;;Intercalar postes c LV, solo cava c/ trado. Visitar para avaliar necessidade de retro para abrir acesso;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101853585;B-1056881;ER-CIND-FAZ-TAMANDUA-RURAL;PIRITIBA;RETIRADDA DA CARTEIRA;HIAGO;DURVAL;DIORLAN;;LPT;13/01/25;13/01/25;17/01/25;;;;;;1016763/2024;E699024 ao E699033;1;13;;;13;0%;;24/01/25;31/01/25;;;;-11.7494604;-40.5754853;R$ 50.261,58;;;150,00;;;Desligamento p/ substituir postes BT por MT;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101925582;B-1088429;RR-CIND-FAZ-LAGOA DO CARMO-RURAL-PIRITIB;PIRITIBA;LOCADA;RODRIGO;DURVAL;DIORLAN;;LPT;14/01/25;14/01/25;28/01/25;2025-10092;2025-10095;;;;;E615855 AO E615861;1;7;;;7;0%;;13/01/25;31/01/25;;;;;;R$ 47.246,25;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101321144;B-0924090;ER-CIND-POV CANJERANA-URBANO;MUNDO NOVO;;ANTONIO;RENATO;DIORLAN;;LPT;24/01/25;24/01/25;28/01/25;2025-10232;2025-10241;;;;;E615923 ao E615931;1;9;;;9;0%;;27/01/25;31/01/25;;;;;;R$ 30.506,54;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101896738;B-1078521;LD CIND PO AVN PRINCIPAL RURAL;MUNDO NOVO;ENERGIZADA;ANTONIO;RENATO;DIORLAN;;REPUTACIONAL;22/01/25;22/01/25;25/01/25;2025-10252;2025-10257;;;;;E615899 AO E615907;1;9;9;9;0;100,00%;;22/01/25;25/01/25;31/01/2025;;E084146;-12.0627200;-40.4844920;R$ 91.747,01;;;;;;intercalar poste c LV e instalar defensa, solo cava c/ trado;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101804419;B-1043613;ER-CIND-AV-ORLANDO CARNEIRO LIMA-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;LPT;13/01/25;13/01/25;15/01/25;2025-5029 - CONJ. LV;;2024-154676;16/01/25;CONCLUÍDO;;E615854;1;2;2;2;0;100,00%;;16/01/25;16/01/25;16/01/2025;;;-11.7562707653269;-40.7114341948181;R$ 18.764,21;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101972569;B-1108191;ER-CIND-FAZ-ALTAMIRA-MASSAMBAO;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;LPT;02/01/25;02/01/25;07/01/25;2025-5005;2025-6290;2024-154606;14/01/25;CONCLUÍDO;1016764/2024;E699034 ao E699045;1;12;12;12;0;100,00%;;06/01/25;17/01/25;17/01/2025;;;-11.602575;-40.603172;R$ 102.921,89;;;;;;Intercalar poste e CH c/ LV, solo trado, Poda;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101982593;B-1114135;RR-CIND-FAZ-CANABRAVA-RURAL;MUNDO NOVO;;LUCIANO;RENATO;DIORLAN;;LPT;14/01/25;14/01/25;17/01/25;;2025-7209;;;;;E615863 AO E615870;1;8;;;8;;;17/01/25;25/01/25;;;;-11.8304148;-40.3460756;R$ 42.327,88;;;380,00;;;Transformar N3 em N4 c LV. Solo bom;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
